student_id,student_name,attendance_percentage,internal_marks,assignment_submission_rate,semester,risk_score,risk_level
STU0045,Angelica Tucker,75.3,88.6,100.0,1,41.65,Moderate
STU0046,Philip Cannon,87.5,69.9,48.6,4,32.14,Low
STU0047,John Pierce,70.5,95.8,87.9,5,15.16,Low
STU0048,Shane Henderson,58.1,67.1,32.1,2,52.05,Moderate
STU0049,Joshua Blair,79.3,84.2,38.9,4,30.71,Low
STU0050,Eric Carney,57.3,82.8,73.8,2,17.74,Low
STU0051,Jessica Holmes,82.2,100.0,84.0,7,20.87,Low
STU0052,Danny Morgan,47.4,81.3,46.6,5,44.34,Moderate
STU0053,Crystal Robinson,85.3,100.0,100.0,8,17.24,Low
STU0054,Mark Perez,94.1,90.8,86.3,6,16.4,Low
STU0055,Shannon Jones,59.5,73.4,64.1,3,34.83,Low
STU0056,Michael Lewis,100.0,95.0,23.3,6,1.23,Low
STU0057,Timothy Duncan,65.6,90.1,97.2,6,7.52,Low
STU0058,Richard Aguirre,60.7,74.7,87.0,4,30.63,Low
STU0059,Brent Jordan,75.9,100.0,53.7,5,25.23,Low
STU0060,John Daniel,34.5,65.4,74.7,2,53.65,Moderate
STU0061,Victoria Garcia,59.1,88.7,67.1,3,36.07,Moderate
STU0062,Gerald Hensley,51.0,70.5,61.6,4,32.54,Low
STU0063,Connor West,100.0,77.1,80.1,3,22.31,Low
STU0064,Donald Wright,100.0,76.4,95.8,8,5.45,Low
STU0065,Jessica Callahan,100.0,97.1,52.3,7,18.44,Low
STU0066,Amber Kidd,56.5,32.0,68.5,5,40.66,Moderate
STU0067,Tracy House,69.9,100.0,38.8,4,9.96,Low
STU0068,Carol Tucker,66.2,100.0,73.3,6,4.51,Low
STU0069,James Brown,98.3,78.8,70.3,1,19.74,Low
STU0070,William Baker,79.0,85.7,55.0,4,19.26,Low
STU0071,Jordan Henderson,77.3,100.0,86.6,1,-0.6,Low
STU0072,Whitney Peters,100.0,82.0,21.2,6,28.86,Low
STU0073,Brittney Phillips,80.6,82.0,54.4,7,19.16,Low
STU0074,Lauren Daniels,63.2,92.6,91.2,5,12.51,Low
STU0075,Amy Silva,93.0,100.0,77.7,2,13.56,Low
STU0076,Sarah Moore,58.4,89.9,56.0,4,35.56,Moderate
STU0077,Angela Lopez,74.6,100.0,72.9,6,9.66,Low
STU0078,Megan Young,85.9,85.5,64.9,4,29.42,Low
STU0079,Steve Sanchez,91.5,100.0,90.3,8,5.54,Low
STU0080,Lisa Barnes,88.6,93.9,62.2,7,13.23,Low
STU0081,Kelly Donovan,76.9,77.8,84.9,8,42.06,Moderate
STU0082,Mike Allen,54.9,91.8,39.6,3,41.33,Moderate
STU0083,Michael Evans,87.5,93.2,85.7,5,1.61,Low
STU0084,Paul Jones,76.5,98.2,53.1,3,18.03,Low
STU0085,Zachary Ferrell,58.5,86.1,62.0,4,24.12,Low
STU0086,Daniel Baker,58.6,86.5,76.1,5,21.71,Low
STU0087,Shirley Suarez,65.6,63.1,75.8,7,19.29,Low
STU0088,Christopher Bass,60.6,85.8,64.7,7,43.25,Moderate
STU0089,Lisa Archer,92.2,90.6,66.0,6,3.69,Low
STU0090,Aimee Montoya,74.6,89.8,62.8,4,13.4,Low
STU0091,Matthew Mcmillan,85.4,94.0,100.0,3,12.27,Low
STU0092,Brian Rodriguez,88.8,92.0,60.0,8,15.81,Low
STU0093,Denise Jacobs,77.0,83.6,50.7,2,30.63,Low
STU0094,Christina Walters,100.0,100.0,94.0,1,-6.47,Low
STU0095,John Whitehead,92.4,100.0,74.6,2,0.02,Low
STU0096,Anna Henderson,58.2,46.6,55.0,3,41.81,Moderate
STU0097,Aaron Wise,59.8,87.8,73.8,3,44.95,Moderate
STU0098,Deborah Figueroa,94.0,75.8,55.6,7,25.86,Low
STU0099,Jessica Smith,48.6,100.0,100.0,2,15.87,Low
STU0100,Stephen Mckee,40.7,80.5,100.0,7,43.88,Moderate
STU0101,Sandra Aguilar,43.1,74.0,55.0,7,42.62,Moderate
STU0102,Cameron Parker,66.0,70.9,85.6,8,26.7,Low
STU0103,Rebecca Valencia,77.4,100.0,82.9,5,1.22,Low
STU0104,Christine Wright,44.3,88.3,100.0,1,19.48,Low
STU0105,Richard Henson,100.0,100.0,72.9,2,6.1,Low
STU0106,Marc Moore,100.0,96.3,100.0,5,11.21,Low
STU0107,Sharon Cherry,87.9,81.9,100.0,6,18.94,Low
STU0108,Sierra Johnson,96.2,66.3,26.0,2,9.41,Low
STU0109,Evelyn Galvan,69.6,100.0,87.9,5,15.31,Low
STU0110,Sharon Cochran,100.0,61.5,35.5,7,27.73,Low
STU0111,Richard Rodriguez,82.7,57.6,69.2,3,29.15,Low
STU0112,Shannon Walker,48.9,87.5,86.7,8,18.68,Low
STU0113,Julia Torres,64.7,77.2,43.5,1,44.09,Moderate
STU0114,Crystal Johnson,55.3,75.2,82.6,5,23.38,Low
STU0115,Garrett Lin,72.9,72.4,44.1,3,21.1,Low
STU0116,Diana May,100.0,83.7,70.9,2,14.49,Low
STU0117,William Herrera,72.8,93.9,64.5,5,28.01,Low
STU0118,Ashley Waller,64.4,76.3,55.6,4,9.58,Low
STU0119,Victor Baker,44.7,100.0,100.0,3,19.63,Low
STU0120,Jeffrey Chandler,86.5,100.0,77.8,6,21.03,Low
STU0121,Larry Dixon,72.4,56.9,46.1,3,41.09,Moderate
STU0122,Kenneth Scott,59.9,65.2,34.4,1,32.29,Low
STU0123,April Frost,100.0,98.3,92.0,6,17.08,Low
STU0124,Michelle Harmon,76.5,100.0,48.5,8,25.08,Low
STU0125,Helen Jones,54.3,66.2,65.2,1,24.95,Low
STU0126,Erin Edwards,93.5,77.1,100.0,2,17.39,Low
STU0127,Michelle Evans,62.0,71.3,57.8,6,26.49,Low
STU0128,Jason Powell,76.0,86.7,49.2,5,24.59,Low
STU0129,Cameron Fisher,70.2,71.9,47.3,4,41.25,Moderate
STU0130,Megan Orr,85.0,86.1,45.6,1,29.95,Low
STU0131,Elizabeth Kelley,41.6,69.3,83.6,4,44.64,Moderate
STU0132,Dustin Jordan,59.7,48.5,24.9,2,52.22,Moderate
STU0133,Mary Marshall,80.2,93.1,47.4,2,4.58,Low
STU0134,Daniel Kennedy,73.7,70.3,39.7,8,34.95,Low
STU0135,Rebecca Jackson,57.8,94.5,60.4,2,21.23,Low
STU0136,Jose Schultz,91.7,93.8,41.8,3,31.85,Low
STU0137,Robert Potter,25.6,76.3,50.1,3,47.19,Moderate
STU0138,Courtney Gonzalez,82.4,87.0,54.9,8,19.69,Low
STU0139,David Alvarez,98.4,99.8,76.4,3,1.33,Low
STU0140,Angel Perry,65.2,87.3,59.2,5,22.92,Low
STU0141,Cheyenne Horton,80.8,100.0,100.0,7,4.42,Low
STU0142,David Douglas Jr.,99.0,61.1,59.8,4,13.91,Low
STU0143,Patricia Rodriguez,37.6,73.8,61.2,4,59.97,High
STU0144,Christopher Rubio,81.5,99.8,64.5,5,-7.55,Low
STU0145,Amber Wright,79.7,69.6,89.3,7,33.86,Low
STU0146,Joyce Solis,81.8,95.9,59.6,6,39.7,Moderate
STU0147,Victoria Larson,78.6,81.9,76.2,8,12.03,Low
STU0148,Stephanie Salazar,91.6,88.3,48.6,8,13.55,Low
STU0149,Kathy Rivas,84.6,100.0,78.3,2,5.4,Low
STU0150,Stephanie Manning,69.6,73.3,45.5,4,37.5,Moderate
STU0151,David Wright,90.1,99.5,46.9,4,28.32,Low
STU0152,Pamela Boyd,83.3,83.4,100.0,2,0.9,Low
STU0153,Denise Jones,39.4,91.6,100.0,6,27.02,Low
STU0154,Devon Flores,80.6,100.0,41.9,1,20.68,Low
STU0155,Brenda Hall,77.2,98.0,88.1,4,14.53,Low
STU0156,Michelle Brown,59.2,100.0,81.8,4,33.42,Low
STU0157,Joshua Perry,100.0,76.6,57.2,1,16.66,Low
STU0158,Jason Stein,76.1,66.9,97.4,2,38.61,Moderate
STU0159,Melissa Gates,71.8,68.2,59.3,1,15.56,Low
STU0160,Jamie Smith,91.5,72.5,71.8,4,7.11,Low
STU0161,Paul Castaneda,68.3,86.6,100.0,2,3.02,Low
STU0162,Jennifer Adkins,70.1,43.2,63.2,1,41.5,Moderate
STU0163,Lindsey Walker,70.4,100.0,87.4,6,25.63,Low
STU0164,Jeffrey Johnson,69.6,100.0,42.3,2,24.28,Low
STU0165,Michael Powell,75.3,89.4,69.4,4,18.79,Low
STU0166,John Anderson,63.5,79.8,56.3,5,25.96,Low
STU0167,Alyssa Long,60.7,78.9,72.7,8,44.64,Moderate
STU0168,Alyssa Day,22.0,94.7,97.3,4,13.12,Low
STU0169,Joel Williams,68.1,61.5,60.7,3,28.23,Low
STU0170,Daniel Murphy,52.8,99.9,100.0,8,31.65,Low
STU0171,Jamie Walton,89.4,77.3,41.8,4,29.84,Low
STU0172,Darlene Miller,50.6,79.1,87.8,8,26.81,Low
STU0173,Joshua Cooke,89.2,87.6,81.1,7,24.66,Low
STU0174,Matthew Harrington,53.4,92.0,85.4,4,21.68,Low
STU0175,Nicole Herring,81.5,96.1,38.7,2,19.37,Low
STU0176,Alex Hernandez,64.5,78.0,96.2,2,9.63,Low
STU0177,Michael Elliott,43.9,61.0,85.2,7,58.58,High
STU0178,Michael Wang,33.4,83.2,100.0,6,32.42,Low
STU0179,Lawrence Adkins,64.1,84.7,80.0,7,35.53,Moderate
STU0180,Robert Oconnell,77.3,82.5,73.8,7,20.77,Low
STU0181,Alexander Collins,81.2,59.6,27.2,8,45.69,Moderate
STU0182,Tina Sanders,78.4,86.9,65.4,1,24.28,Low
STU0183,Angela Vaughn,64.2,82.3,50.5,2,21.5,Low
STU0184,Ashley Barton,83.2,95.9,27.4,1,27.62,Low
STU0185,Lindsay Martinez,80.1,100.0,94.6,7,19.18,Low
STU0186,Dr. Hannah Patterson,38.2,59.7,38.0,6,53.51,Moderate
STU0187,Jonathan Peterson,85.4,88.8,51.9,2,12.42,Low
STU0188,Samantha Garcia,62.8,61.9,34.8,4,29.63,Low
STU0189,Madison Poole,55.5,71.7,96.3,4,56.19,High
STU0190,Jessica Gross,84.9,77.5,74.6,4,27.13,Low
STU0191,Debra Morton,63.5,100.0,73.1,8,19.03,Low
STU0192,Karen Graham,98.0,89.4,52.4,3,32.29,Low
STU0193,Debra Christian,62.5,99.4,100.0,7,9.65,Low
STU0194,Angelica Keith,87.6,100.0,94.3,3,-9.62,Low
STU0195,John Bishop,60.5,79.8,63.8,5,37.35,Moderate
STU0196,Allen Rosales,78.6,86.6,36.6,8,32.72,Low
STU0197,Daniel Salinas,86.2,100.0,97.0,4,10.71,Low
STU0198,Spencer Haynes,73.6,84.2,28.5,2,33.26,Low
STU0199,Adam Vaughan,80.4,65.5,38.1,8,44.53,Moderate
STU0200,Nathan Freeman,74.2,90.1,87.0,2,17.17,Low
STU0201,Melissa Brewer,93.8,91.0,57.1,1,10.05,Low
STU0202,Ricky Davis II,66.3,85.7,62.3,1,21.96,Low
STU0203,Elizabeth Perkins,100.0,86.7,47.6,2,11.39,Low
STU0204,Joseph Coleman,100.0,100.0,74.9,4,-9.84,Low
STU0205,Erin Warner,80.3,93.8,92.2,3,22.56,Low
STU0206,David Martinez,64.7,100.0,100.0,7,10.51,Low
STU0207,Bryan Herrera,66.1,100.0,100.0,8,8.34,Low
STU0208,Cathy Robinson,66.6,62.4,63.0,8,26.62,Low
STU0209,Dr. William Warren,54.9,76.1,50.8,4,39.77,Moderate
STU0210,Brian Lee,100.0,100.0,45.0,7,8.85,Low
STU0211,Christopher Smith,74.0,72.7,86.9,1,27.75,Low
STU0212,Denise Mccann,78.3,94.3,82.3,3,39.04,Moderate
STU0213,Melissa Martinez,62.2,70.7,56.7,7,29.93,Low
STU0214,Katherine Salas,62.3,100.0,99.7,1,9.45,Low
STU0215,Julie Alexander,58.4,75.6,81.8,7,36.4,Moderate
STU0216,Anthony Everett,79.1,100.0,32.1,5,39.91,Moderate
STU0217,Rodney Morales,62.7,85.2,60.3,8,32.12,Low
STU0218,Mark Brown,88.2,93.8,100.0,5,-0.77,Low
STU0219,Justin Torres,47.4,74.1,51.7,7,59.01,High
STU0220,Bailey Duran DDS,64.6,84.3,75.6,8,37.2,Moderate
STU0221,Courtney Mills,100.0,84.0,56.7,3,25.49,Low
STU0222,Jeremy Dalton,88.6,100.0,100.0,4,0.95,Low
STU0223,Elizabeth Oliver DDS,86.8,100.0,97.7,5,10.8,Low
STU0224,Theresa Clark,96.3,100.0,99.2,4,8.11,Low
STU0225,Matthew Moore,71.7,100.0,73.7,1,8.43,Low
STU0226,Benjamin Smith,82.4,87.2,60.2,1,32.93,Low
STU0227,Kirk Carter,78.8,67.5,71.2,6,34.71,Low
STU0228,Michael Warner,87.9,91.8,100.0,1,10.33,Low
STU0229,Michael Bradshaw,80.0,92.6,100.0,1,13.77,Low
STU0230,Lori Guerrero,87.2,84.4,74.7,8,18.39,Low
STU0231,Jessica Stephens,96.5,89.8,44.3,3,9.62,Low
STU0232,Susan Serrano,98.9,77.7,31.9,1,26.76,Low
STU0233,Christopher Parker,100.0,85.3,68.4,2,31.0,Low
STU0234,Laura Roberts,46.0,73.4,15.0,3,44.19,Moderate
STU0235,Michael Lyons,54.6,87.6,87.7,2,19.96,Low
STU0236,Kathryn Snyder,49.4,92.9,91.8,2,23.71,Low
STU0237,Andrew Reynolds,100.0,65.8,43.2,4,18.12,Low
STU0238,David Davis,74.1,83.8,76.1,7,25.14,Low
STU0239,Sara Johnston,50.0,83.8,100.0,2,37.68,Moderate
STU0240,Yvonne Chambers,81.9,99.4,81.4,4,15.7,Low
STU0241,Andrew Avila,87.9,99.3,100.0,1,12.23,Low
STU0242,Matthew Moon,73.2,81.8,100.0,2,36.0,Moderate
STU0243,Kevin Walters,74.2,81.0,34.2,7,24.25,Low
STU0244,Brandon Bailey MD,91.8,81.6,53.7,6,1.01,Low
STU0245,Shannon Rivera,66.0,47.9,9.4,5,60.18,High
STU0246,Donna Landry,90.7,78.8,80.6,4,15.57,Low
STU0247,Krista Gibson,74.9,100.0,41.0,6,30.59,Low
STU0248,Frank Cordova,70.6,88.4,70.7,4,1.84,Low
STU0249,Jose Travis,70.1,66.6,53.0,5,31.94,Low
STU0250,Kimberly Gutierrez,100.0,88.6,86.0,7,13.07,Low
STU0251,Isaiah Avila,100.0,99.5,93.1,3,-4.9,Low
STU0252,Olivia Harris,89.0,100.0,79.8,5,14.8,Low
STU0253,Tanya Kim,96.0,100.0,56.6,8,12.26,Low
STU0254,Barbara Dudley,100.0,100.0,52.8,6,11.43,Low
STU0255,Cynthia Moore,62.0,75.4,57.9,2,37.73,Moderate
STU0256,Kristen Davis,85.5,86.4,55.7,1,41.55,Moderate
STU0257,Susan Murray MD,100.0,96.8,80.9,8,6.32,Low
STU0258,Kathleen Moran,87.3,81.2,44.4,2,7.04,Low
STU0259,Denise Davenport,83.0,84.9,86.2,2,31.36,Low
STU0260,Mrs. Kristen Reyes,50.5,75.2,33.4,4,53.52,Moderate
STU0261,Katie Suarez,100.0,100.0,58.5,5,7.91,Low
STU0262,Desiree Tyler,71.5,99.7,92.1,3,-2.67,Low
STU0263,Timothy Romero,100.0,90.6,100.0,6,7.71,Low
STU0264,Diane Evans,84.9,82.5,76.5,2,11.02,Low
STU0265,Yvonne Burns,74.5,100.0,99.3,4,6.63,Low
STU0266,Joshua Reed,90.4,94.4,0.0,6,8.68,Low
STU0267,Kimberly Gibson,67.8,59.3,42.0,5,52.38,Moderate
STU0268,Colin Terry,65.6,84.7,78.7,3,28.89,Low
STU0269,Cynthia Rowe,76.5,95.5,37.9,8,18.67,Low
STU0270,Patrick Thornton,43.9,97.5,59.3,5,40.08,Moderate
STU0271,Jasmin Alvarado,68.0,77.8,61.3,1,50.17,Moderate
STU0272,Veronica Simpson,82.6,100.0,80.8,5,13.18,Low
STU0273,Jonathan Lawrence,69.8,82.9,65.1,2,25.53,Low
STU0274,Shelly Alexander,89.6,100.0,71.3,3,9.11,Low
STU0275,Joyce Bowen,76.6,90.7,20.0,5,32.54,Low
STU0276,Matthew Moore,95.0,100.0,0.0,2,20.62,Low
STU0277,Wayne Morgan,97.2,97.1,44.0,2,2.94,Low
STU0278,Marie Christian,62.5,85.9,100.0,3,22.81,Low
STU0279,Shannon James,92.4,96.5,82.4,5,11.63,Low
STU0280,Nathan Malone,100.0,96.7,68.6,5,18.1,Low
STU0281,Amanda Jones,97.1,100.0,99.7,4,-10.21,Low
STU0282,Tammie Bright,100.0,92.8,41.3,6,7.07,Low
STU0283,Jessica Garcia,73.7,92.6,78.2,4,22.06,Low
STU0284,Shelia Wallace,100.0,92.6,81.3,5,16.33,Low
STU0285,Stephanie Williams,98.8,96.5,39.3,8,21.05,Low
STU0286,Elaine Brooks,69.0,88.5,100.0,5,18.25,Low
STU0287,Joseph Knight,71.5,69.1,70.4,1,15.27,Low
STU0288,Carolyn Miller,100.0,74.9,48.8,2,-1.26,Low
STU0289,Lisa Allen,62.2,100.0,36.9,7,37.83,Moderate
STU0290,Briana Murray,61.2,100.0,100.0,5,12.26,Low
STU0291,David Smith,25.0,56.7,100.0,1,30.88,Low
STU0292,Stephanie Byrd,95.5,100.0,100.0,1,7.46,Low
STU0293,Jeremy Reed,86.9,100.0,91.3,6,9.79,Low
STU0294,Margaret Coleman,77.1,75.5,68.4,3,22.47,Low
STU0295,Ryan Gonzalez,41.1,61.0,67.5,5,34.59,Low
STU0296,John Young,78.6,100.0,100.0,3,-7.14,Low
STU0297,Laura Haney,55.2,70.5,93.5,8,28.76,Low
STU0298,William Barrett,86.0,86.5,45.8,7,8.49,Low
STU0299,Keith Jennings,63.0,60.6,78.0,1,39.38,Moderate
STU0300,Amber Obrien,74.6,92.5,83.8,2,30.03,Low
STU0301,Tanner Mitchell DDS,77.5,86.9,59.3,2,27.8,Low
STU0302,Heather Fields,76.0,76.5,71.0,3,18.19,Low
STU0303,Megan Le,46.9,65.4,100.0,1,28.12,Low
STU0304,Sara Fuller,60.6,82.2,92.4,6,36.85,Moderate
STU0305,Maria Parker,61.5,71.3,77.0,3,52.91,Moderate
STU0306,Kevin Oconnor,51.2,90.4,77.7,7,31.92,Low
STU0307,Edward Burgess,71.3,85.4,66.8,3,22.5,Low
STU0308,Carlos Ryan,94.3,89.9,100.0,1,-7.38,Low
STU0309,Kiara Mcintyre,73.2,79.9,100.0,5,35.13,Moderate
STU0310,Dawn Summers,100.0,99.8,56.2,6,25.15,Low
STU0311,Dr. Paul Morgan,67.4,74.5,64.9,1,20.11,Low
STU0312,Victor Taylor,62.0,77.0,39.4,6,28.82,Low
STU0313,Shannon Ramsey,79.7,85.1,31.1,4,36.21,Moderate
STU0314,Tracy Ballard,35.1,94.8,79.4,4,20.05,Low
STU0315,Richard Smith,100.0,85.5,80.5,2,9.14,Low
STU0316,Jordan Chambers,86.2,98.3,71.9,6,2.62,Low
STU0317,Lauren Carson,78.4,78.8,34.7,7,21.16,Low
STU0318,Ashley Hall,60.3,100.0,100.0,3,21.98,Low
STU0319,Stephen Hoffman,53.2,96.6,62.1,4,29.11,Low
STU0320,Connie Brown,100.0,98.8,79.8,3,1.4,Low
STU0321,Susan Turner,77.7,97.2,66.2,3,26.4,Low
STU0322,Charles Shah,59.3,47.6,36.7,7,54.99,Moderate
STU0323,Johnathan Davis,52.9,74.9,16.2,1,70.54,High
STU0324,Brandy Chavez,74.9,91.9,91.0,3,14.11,Low
STU0325,Natalie Bautista,93.4,94.6,62.7,6,15.49,Low
STU0326,Patrick Moore,61.6,84.8,94.8,7,14.9,Low
STU0327,Brett Burns,85.7,85.6,47.5,4,21.85,Low
STU0328,Trevor Johnson,96.7,95.0,81.9,5,15.11,Low
STU0329,Jeremy Sampson,100.0,96.9,83.9,3,-8.69,Low
STU0330,Ariana Jennings,53.7,69.4,62.4,2,36.4,Moderate
STU0331,Vanessa Howard,76.1,88.4,83.2,7,22.39,Low
STU0332,Colton Martinez,76.3,62.9,20.6,1,38.75,Moderate
STU0333,Jordan Bates,50.8,100.0,85.0,8,34.87,Low
STU0334,Linda Smith,70.7,93.4,100.0,4,10.96,Low
STU0335,Dana Martinez,62.7,75.5,62.4,4,33.93,Low
STU0336,Andrea Hubbard,78.2,94.0,70.1,8,28.99,Low
STU0337,Daniel Kane,94.0,46.5,32.9,6,46.59,Moderate
STU0338,Charles Lester,47.7,59.6,64.4,5,26.19,Low
STU0339,Scott Thomas,85.8,84.9,89.0,4,-12.0,Low
STU0340,David Thompson,64.1,63.0,79.8,4,35.05,Moderate
STU0341,Allison Smith,74.7,91.1,84.5,1,7.06,Low
STU0342,Cynthia Morris,98.9,92.5,66.0,4,0.9,Low
STU0343,Anthony Harmon,66.1,76.8,47.9,7,50.36,Moderate
STU0344,Nichole Alvarez,47.6,92.3,29.7,6,36.04,Moderate
STU0345,Kayla Rodriguez,61.6,78.6,96.0,5,42.97,Moderate
STU0346,Theresa Williams,88.6,100.0,57.8,2,6.96,Low
STU0347,Sharon Boyd,89.8,100.0,77.5,5,24.18,Low
STU0348,Victor Brown,75.6,89.8,51.2,6,16.8,Low
STU0349,James Parks,100.0,89.2,73.4,7,11.48,Low
STU0350,Theodore Jones Jr.,48.1,91.6,45.7,6,28.44,Low
STU0351,Ana Hill,54.1,100.0,83.4,1,28.88,Low
STU0352,Kimberly Nguyen,94.9,67.4,51.1,2,39.88,Moderate
STU0353,Kerry Chavez DDS,68.5,100.0,63.7,5,25.4,Low
STU0354,Michael Farrell,84.1,85.6,100.0,3,21.4,Low
STU0355,Patricia Le,76.1,100.0,76.7,5,19.28,Low
STU0356,Jesse Perez,85.8,89.6,96.8,1,2.09,Low
STU0357,Jesse Perry,54.1,100.0,20.8,2,23.16,Low
STU0358,Jeffery Ortega,70.6,88.4,63.1,7,31.95,Low
STU0359,Christian Leblanc,92.2,86.2,55.4,6,20.36,Low
STU0360,Ronald Davis,70.0,98.4,100.0,6,19.99,Low
STU0361,Parker Cain,88.3,99.1,99.3,7,-7.76,Low
STU0362,Laurie Hoffman,83.0,77.7,53.7,2,30.84,Low
STU0363,Bryan Gomez,99.8,98.7,70.5,7,23.54,Low
STU0364,Nicole Parrish,79.8,100.0,100.0,4,-9.53,Low
STU0365,Tracy Burke,90.1,100.0,79.5,5,14.8,Low
STU0366,Kenneth Lewis,72.2,76.4,39.4,1,24.16,Low
STU0367,Courtney Rodriguez,63.4,100.0,84.7,7,21.65,Low
STU0368,Holly Farmer,51.1,99.5,81.1,1,17.45,Low
STU0369,Renee Bruce,72.3,74.0,70.4,4,33.88,Low
STU0370,Sabrina Austin,72.6,74.6,80.5,6,20.67,Low
STU0371,Allison Hickman,89.4,100.0,60.7,7,8.09,Low
STU0372,Debra White,79.5,71.2,93.3,2,3.44,Low
STU0373,Ellen Morgan,44.5,75.1,100.0,6,57.76,High
STU0374,Sergio Knight,63.7,100.0,74.6,6,39.65,Moderate
STU0375,Charles Schultz,100.0,100.0,100.0,2,5.93,Low
STU0376,Paul Lewis,90.6,76.1,56.2,5,22.04,Low
STU0377,Glen Wood,71.6,93.7,58.7,5,31.72,Low
STU0378,Paula Bradley,76.8,75.9,100.0,7,16.99,Low
STU0379,Anthony Moore,60.7,71.6,23.3,6,41.2,Moderate
STU0380,Megan Nelson,100.0,81.8,85.8,7,28.67,Low
STU0381,Karla Ramos,99.4,93.3,84.6,5,-3.61,Low
STU0382,Paul Wilson,67.6,100.0,97.2,3,28.97,Low
STU0383,Douglas Gregory,65.2,80.1,42.0,4,15.79,Low
STU0384,Mr. Andrew Foster,81.5,80.7,66.3,7,5.92,Low
STU0385,Aimee Turner,85.3,69.4,56.7,7,-1.92,Low
STU0386,Chad Scott,74.4,100.0,100.0,3,5.65,Low
STU0387,Adam Burgess,63.0,70.3,81.7,5,33.39,Low
STU0388,James Padilla,90.3,95.6,100.0,7,3.6,Low
STU0389,Sandra Drake,57.4,73.7,49.3,1,41.35,Moderate
STU0390,Scott Williams,93.3,100.0,49.9,5,10.0,Low
STU0391,Thomas Atkins,74.6,46.3,51.3,5,50.24,Moderate
STU0392,Laura Mckinney,89.7,90.5,63.0,4,20.46,Low
STU0393,Brian Smith,43.7,86.4,56.8,7,24.05,Low
STU0394,Robert Montgomery,80.9,88.5,36.1,6,24.69,Low
STU0395,Tamara Davis,42.7,71.6,99.1,8,26.35,Low
STU0396,Dana Chapman,79.0,78.2,98.7,8,17.99,Low
STU0397,Jennifer Collins,83.6,95.2,87.3,8,7.36,Low
STU0398,Gary Jackson,58.4,65.9,72.2,4,6.62,Low
STU0399,Ashley Hicks,83.7,58.2,92.6,8,14.61,Low
